Plant Name,Docket Number,License Number,Reactor Type,Location,Owner/Operator,NRC Region
"Hope Creek 1",			05000354,NPF-57,BWR,"18 miles SE of Wilmington,  DE","PSEG Nuclear, LLC",1
"La Salle 1",			05000373,NPF-11,BWR,"11 miles SE of Ottawa,  IL","Exelon Generation Co., LLC",3
"La Salle 2",			05000374,NPF-18,BWR,"11 miles SE of Ottawa,  IL","Exelon Generation Co., LLC",3
"Limerick 1",			05000352,NPF-39,BWR,"21 miles NW of Philadelphia,  PA","Exelon Generation Co., LLC",1
"Limerick 2",			05000353,NPF-85,BWR,"21 miles NW of Philadelphia,  PA","Exelon Generation Co., LLC",1
"McGuire 1",			05000369,NPF-9,PWR,"17 miles N of Charlotte,  NC","Duke Energy Carolinas, LLC",2
"McGuire 2",			05000370,NPF-17,PWR,"17 miles N of Charlotte,  NC","Duke Energy Carolinas, LLC",2
"Millstone 2",			05000336,DPR-65,PWR,"3.2 miles WSW of New London,  CT",Dominion Generation,1
"Millstone 3",			05000423,NPF-49,PWR,"3.2 miles WSW of New London,  CT",Dominion Generation,1
"Monticello",			05000263,DPR-22,BWR,"35 miles NW of Minneapolis,  MN",Northern States Power Company – Minnesota,3
"Nine Mile Point 1",			05000220,DPR-63,BWR,"6 miles NE of Oswego,  NY",Constellation Energy,1
"Nine Mile Point 2",			05000410,NPF-69,BWR,"6 miles NE of Oswego,  NY",Constellation Energy,1
"North Anna 1",			05000338,NPF-4,PWR,"40 miles NW of Richmond,  VA",Dominion Generation,2
"North Anna 2",			05000339,NPF-7,PWR,"40 miles NW of Richmond,  VA",Dominion Generation,2
"Oconee 1",			05000269,DPR-38,PWR,"30 miles W of Greenville,  SC","Duke Energy Carolinas, LLC",2
"Oconee 2",			05000270,DPR-47,PWR,"30 miles W of Greenville,  SC","Duke Energy Carolinas, LLC",2
"Oconee 3",			05000287,DPR-55,PWR,"30 miles W of Greenville,  SC","Duke Energy Carolinas, LLC",2
"Palo Verde 1",			05000528,NPF-41,PWR,"50 miles W of Phoenix,  AZ",Arizona Public Service Co.,4
"Palo Verde 2",			05000529,NPF-51,PWR,"50 miles W of Phoenix,  AZ",Arizona Public Service Co.,4
"Palo Verde 3",			05000530,NPF-74,PWR,"50 miles W of Phoenix,  AZ",Arizona Public Service Co.,4
"Peach Bottom 2",			05000277,DPR-44,BWR,"17.9 miles S of Lancaster,  PA","Constellation Energy Generation, LLC",1
"Peach Bottom 3",			05000278,DPR-56,BWR,"17.9 miles S of Lancaster,  PA","Constellation Energy Generation, LLC",1
"Perry 1",			05000440,NPF-58,BWR,"35 miles NE of Cleveland, OH",FirstEnergy Nuclear Operating Co.,3
"Point Beach 1",			05000266,DPR-24,PWR,"13 miles NNW of Manitowoc,  WI","NextEra Energy Point Beach, LLC",3
"Point Beach 2",			05000301,DPR-27,PWR,"13 miles NNW of Manitowoc,  WI","NextEra Energy Point Beach, LLC",3
"Prairie Island 1",			05000282,DPR-42,PWR,"28 miles SE of Minneapolis,  MN",Northern States Power Company – Minnesota,3
"Prairie Island 2",			05000306,DPR-60,PWR,"28 miles SE of Minneapolis,  MN",Northern States Power Company – Minnesota,3
"Quad Cities 1",			05000254,DPR-29,BWR,"20 miles NE of Moline,  IL","Exelon Generation Co., LLC",3
"Quad Cities 2",			05000265,DPR-30,BWR,"20 miles NE of Moline,  IL","Exelon Generation Co., LLC",3
"River Bend 1",			05000458,NPF-47,BWR,"24 miles NNW of Baton Rouge,  LA","Entergy Nuclear Operations, Inc.",4
"Robinson 2",			05000261,DPR-23,PWR,"26 miles NW of Florence,  SC","Duke Energy Progress, LLC",2
"Saint Lucie 1",			05000335,DPR-67,PWR,"10 miles SE of Ft. Pierce,  FL",Florida Power & Light Co.,2
"Saint Lucie 2",			05000389,NPF-16,PWR,"10 miles SE of Ft. Pierce,  FL",Florida Power & Light Co.,2
"Salem 1",			05000272,DPR-70,PWR,"18 miles S of Wilmington,  DE","PSEG Nuclear, LLC",1
"Salem 2",			05000311,DPR-75,PWR,"18 miles S of Wilmington,  DE","PSEG Nuclear, LLC",1
"Seabrook 1",			05000443,NPF-86,PWR,"13 miles S of Portsmouth,  NH","NextEra Energy Seabrook, LLC",1
"Sequoyah 1",			05000327,DPR-77,PWR,"16 miles NE of Chattanooga,  TN",Tennessee Valley Authority,2
"Sequoyah 2",			05000328,DPR-79,PWR,"16 miles NE of Chattanooga,  TN",Tennessee Valley Authority,2
"Shearon Harris 1",			05000400,NPF-63,PWR,"20 miles SW of Raleigh,  NC","Duke Energy Progress, LLC",2
"South Texas 1",			05000498,NPF-76,PWR,"90 miles SW of Houston, TX",STP Nuclear Operating Co.,4
"South Texas 2",			05000499,NPF-80,PWR,"90 miles SW of Houston, TX",STP Nuclear Operating Co.,4
"Summer",			05000395,NPF-12,PWR,"26 miles NW of Columbia,  SC",South Carolina Electric & Gas Co.,2
"Surry 1",			05000280,DPR-32,PWR,"17 miles NW of Newport News,  VA",Dominion Generation,2
"Surry 2",			05000281,DPR-37,PWR,"17 miles NW of Newport News,  VA",Dominion Generation,2
"Susquehanna 1",			05000387,NPF-14,BWR,"70 miles NE of Harrisburg, PA","Susquehanna Nuclear, LLC",1
"Susquehanna 2",			05000388,NPF-22,BWR,"70 miles NE of Harrisburg, PA","Susquehanna Nuclear, LLC",1
"Turkey Point 3",			05000250,DPR-31,PWR,"20 miles S of Miami, FL",Florida Power & Light Co.,2
"Turkey Point 4",			05000251,DPR-41,PWR,"20 miles S of Miami, FL",Florida Power & Light Co.,2
"Vogtle 1",			05000424,NPF-68,PWR,"26 miles SE of Augusta, GA",Southern Nuclear Operating Co.,2
"Vogtle 2",			05000425,NPF-81,PWR,"26 miles SE of Augusta, GA",Southern Nuclear Operating Co.,2
"Vogtle 3",			05200025,NPF-91,PWR,"26 miles SE of Augusta, GA",Southern Nuclear Operating Co.,2
"Waterford 3",			05000382,NPF-38,PWR,"25 miles W of New Orleans,  LA","Entergy Nuclear Operations, Inc.",4
"Watts Bar 1",			05000390,NPF-90,PWR,"60 miles SW of Knoxville, TN",Tennessee Valley Authority,2
"Watts Bar 2",			05000391,NPF-96,PWR,"60 miles SW of Knoxville, TN",Tennessee Valley Authority,2
"Wolf Creek 1",			05000482,NPF-42,PWR,"3.5 miles NE of Burlington,  KS",Wolf Creek Nuclear Operating Corp.,4
